annee,idelevage,Nom_Animal,rendement,Rendement_Min,Rendement_Max,Rendement_Moyen,Ecart_Type_Rendement
15,3,chevre,20.0221,20.0221,20.0221,20.02210000,0
15,5,"vache laitiere",183.9249,183.9249,183.9249,183.92490000,0
15,6,canard,6.7048,6.7048,6.7048,6.70480000,0
15,9,chevre,13.1947,13.1947,13.1947,13.19470000,0
15,15,chevre,13.1968,13.1968,13.1968,13.19680000,0
15,24,chevre,15.2491,15.2491,15.2491,15.24910000,0
15,27,dinde,9.4237,9.4237,9.4237,9.42370000,0
15,30,"vache laitiere",86.5072,86.5072,86.5072,86.50720000,0
15,46,chevre,20.0498,20.0498,20.0498,20.04980000,0
15,52,dinde,11.1945,11.1945,11.1945,11.19450000,0
15,62,chevre,15.5903,15.5903,15.5903,15.59030000,0
15,66,chevre,12.5467,12.5467,12.5467,12.54670000,0
15,67,mouton,28.5247,28.5247,28.5247,28.52470000,0
15,68,"vache laitiere",157.4615,157.4615,157.4615,157.46150000,0
15,69,canard,7.6961,7.6961,7.6961,7.69610000,0
15,72,chevre,13.8669,13.8669,13.8669,13.86690000,0
15,76,canard,7.2572,7.2572,7.2572,7.25720000,0
15,78,dinde,10.4035,10.4035,10.4035,10.40350000,0
15,90,dinde,9.8975,9.8975,9.8975,9.89750000,0
15,97,chevre,17.6494,17.6494,17.6494,17.64940000,0
15,99,porc,54.5698,54.5698,54.5698,54.56980000,0
16,8,dinde,11.7505,11.7505,11.7505,11.75050000,0
16,9,chevre,4.4154,4.4154,4.4154,4.41540000,0
16,12,canard,7.2225,7.2225,7.2225,7.22250000,0
16,16,mouton,22.4254,22.4254,22.4254,22.42540000,0
16,20,chevre,12.7457,12.7457,12.7457,12.74570000,0
16,25,chevre,15.5322,15.5322,15.5322,15.53220000,0
16,29,dinde,7.8219,7.8219,7.8219,7.82190000,0
16,32,chevre,12.3351,12.3351,12.3351,12.33510000,0
16,34,porc,45.5410,45.5410,45.5410,45.54100000,0
16,37,porc,43.2204,43.2204,43.2204,43.22040000,0
16,45,chevre,12.4053,12.4053,12.4053,12.40530000,0
16,47,dinde,9.4593,9.4593,9.4593,9.45930000,0
16,48,dinde,9.3695,9.3695,9.3695,9.36950000,0
16,50,"vache laitiere",302.8667,302.8667,302.8667,302.86670000,0
16,61,canard,8.0986,8.0986,8.0986,8.09860000,0
16,77,chevre,14.7858,14.7858,14.7858,14.78580000,0
16,89,mouton,34.7280,34.7280,34.7280,34.72800000,0
16,92,chevre,12.2520,12.2520,12.2520,12.25200000,0
16,95,dinde,10.5403,10.5403,10.5403,10.54030000,0
16,99,porc,34.6558,34.6558,34.6558,34.65580000,0
17,1,dinde,9.7120,9.7120,9.7120,9.71200000,0
17,2,poulet,2.2551,2.2551,2.2551,2.25510000,0
17,9,chevre,9.3690,9.3690,9.3690,9.36900000,0
17,14,canard,5.6866,5.6866,5.6866,5.68660000,0
17,16,mouton,13.0881,13.0881,13.0881,13.08810000,0
17,17,porc,42.7313,42.7313,42.7313,42.73130000,0
17,30,"vache laitiere",191.4831,191.4831,191.4831,191.48310000,0
17,45,chevre,21.3682,21.3682,21.3682,21.36820000,0
17,56,chevre,13.3076,13.3076,13.3076,13.30760000,0
17,75,dinde,9.5755,9.5755,9.5755,9.57550000,0
17,87,canard,6.4088,6.4088,6.4088,6.40880000,0
17,90,dinde,8.2574,8.2574,8.2574,8.25740000,0
17,94,porc,40.1033,40.1033,40.1033,40.10330000,0
17,97,chevre,12.8828,12.8828,12.8828,12.88280000,0
18,11,canard,7.8288,7.8288,7.8288,7.82880000,0
18,13,mouton,27.1436,27.1436,27.1436,27.14360000,0
18,14,canard,16.0081,16.0081,16.0081,16.00810000,0
18,17,porc,35.7867,35.7867,35.7867,35.78670000,0
18,26,porc,36.4748,36.4748,36.4748,36.47480000,0
18,27,dinde,10.0892,10.0892,10.0892,10.08920000,0
18,39,dinde,9.8757,9.8757,9.8757,9.87570000,0
18,44,chevre,19.1346,19.1346,19.1346,19.13460000,0
18,47,dinde,29.1802,29.1802,29.1802,29.18020000,0
18,50,"vache laitiere",47.0417,47.0417,47.0417,47.04170000,0
18,56,chevre,16.5133,16.5133,16.5133,16.51330000,0
18,58,porc,39.8804,39.8804,39.8804,39.88040000,0
18,68,"vache laitiere",253.8538,253.8538,253.8538,253.85380000,0
18,70,dinde,9.5384,9.5384,9.5384,9.53840000,0
18,72,chevre,5.6431,5.6431,5.6431,5.64310000,0
18,77,chevre,21.0860,21.0860,21.0860,21.08600000,0
18,89,mouton,27.8779,27.8779,27.8779,27.87790000,0
18,93,mouton,24.7801,24.7801,24.7801,24.78010000,0
18,98,chevre,13.2508,13.2508,13.2508,13.25080000,0
18,99,porc,65.5354,65.5354,65.5354,65.53540000,0
